Approved Budget of the Contract,Contract Duration,Quantity,Item Budget,Award No.,Contract Amount,Month
787500.0,15,1,787500.0,2716137,787500.0,4
595000.0,7,20,595000.0,2715225,595000.0,4
240000.0,7,300,240000.0,2763793,240000.0,4
2200000.0,7,1,2200000.0,2763114,2200000.0,4
924000.0,7,14,924000.0,2762901,924000.0,4
62550.0,7,1,62550.0,2726826,62550.0,4
64500.0,14,300,64500.0,2726178,64500.0,4
2379824.0,10,1,2379824.0,2737100,2379824.0,4
78000.0,7,30,78000.0,2727212,78000.0,4
122500.0,7,500,122500.0,2720948,122500.0,4
20000.0,7,25,20000.0,2755170,18125.0,4
1840495.0,7,1,1840495.0,2718376,637348.95,4
5900.0,14,236,5900.0,2758203,5900.0,4
135000.0,7,100,135000.0,2715527,125000.0,4
874700.0,30,1,874700.0,2715392,868275.0,4
350000.0,30,200,350000.0,2727825,350000.0,4
4500.0,7,100,4500.0,2734167,1800.0,4
462500.0,1,2500,462500.0,2704811,462500.0,4
312200.0,7,1,312200.0,2764339,312200.0,4
613550.0,15,1,613550.0,2712585,613550.0,4
180000.0,3,1,180000.0,2706782,178374.0,4
1509900.0,30,1,1509900.0,2695521,1478316.0,4
210000.0,1,3,210000.0,2734436,204000.0,4
297500.0,7,170,297500.0,2730384,297500.0,4
390000.0,7,100,390000.0,2726828,390000.0,4
2173450.0,7,1,2173450.0,2701235,2156917.0,4
13500000.0,7,1,13500000.0,2753479,13497000.0,4
98200.0,30,3,98200.0,2755812,98200.0,4
139300.0,14,350,139300.0,2757504,139300.0,4
145000.0,2,678,145000.0,2746304,138910.0,4
184910.0,7,1,184910.0,2732782,184910.0,4
13500.0,7,1,13500.0,2741957,13500.0,4
327200.0,7,400,327200.0,2739596,327200.0,4
150500.0,7,154,150500.0,2748818,79222.0,4
2928500.0,7,1000,2928500.0,2763424,260000.0,4
1312691.6,30,3455,1312691.6,2696728,1312691.6,4
1112500.0,7,39715,1112500.0,2729457,1110245.0,4
950000.0,7,1,950000.0,2601177,945000.0,4
130600.0,7,1,130600.0,2760975,130372.0,4
53250.0,7,1,53250.0,2722528,53250.0,4
156680.0,7,1,156680.0,2721819,156000.0,4
2100000.0,7,8400,2100000.0,2729771,2095800.0,4
2279.76,14,177,2279.76,2759008,2.28,4
84600.0,10,1,84600.0,2704602,81350.0,4
249000.0,5,1,249000.0,2731960,248755.0,4
52500.0,20,500,52500.0,2765291,52375.0,4
15222442.9,7,1,15222442.9,2764426,382353.0,4
10980.0,14,1,10980.0,2764739,10980.0,4
1487400.0,30,670,1487400.0,2736075,1487400.0,4
37000.0,10,10,37000.0,2733709,15000.0,4
196000.0,3,1,196000.0,2731051,196000.0,4
937260.8,7,70,937260.8,2738332,937260.8,4
85000.0,3,50,85000.0,2704993,84850.0,4
1175000.0,7,50,1175000.0,1846609,1172975.0,4
220000.0,7,1,220000.0,2675384,198000.0,4
652800.0,7,1,652800.0,2752414,652800.0,4
33424740.0000002,7,8,33424740.0000002,2752347,23927565.00000017,4
761800.0,14,1,761800.0,2724966,761800.0,4
7820.0,7,50,7820.0,2736701,5700.0,4
3315948.2,14,1,3315948.2,2708363,766770.0,4
1904420.0,7,1,1904420.0,2718619,1869950.0,4
22610.0,7,2,22610.0,2739948,22610.0,4
60000.0,5,15,60000.0,2708462,56250.0,4
1000000.0,15,1,1000000.0,2713336,950000.0,4
38200.0,7,1,38200.0,2741504,38200.0,4
393395.0,7,1,393395.0,2711636,391024.0,4
1117760.0,7,1,1117760.0,2744177,1117760.0,4
875000.0,7,25,875000.0,2713311,875000.0,4
1642043.2,5,1,1642043.2,2745949,1642043.2,4
497425.0,5,1,497425.0,2712708,496840.0,4
197876.0,10,1,197876.0,2712438,176185.0,4
98400.0,7,1,98400.0,2713261,95600.0,4
300000.0,5,2000,300000.0,2748115,300000.0,4
1021000.0,7,2,1021000.0,2748353,1021000.0,4
1000000.0,15,1000,1000000.0,2765167,950000.0,4
5940000.0,7,3000,5940000.0,2729634,5925000.0,4
66750.0,5,1,66750.0,2713813,65670.0,4
10478000.0,7,100,10478000.0,2716536,1102000.0,4
225589.85,14,1,225589.85,2725280,225589.85,4
192000.0,30,12,192000.0,2727110,192000.0,4
12800.0,7,2,12800.0,2702537,12740.0,4
9500.0,7,1,9500.0,2741943,9500.0,4
195000.0,7,30,195000.0,2738335,195000.0,4
586000.0,7,1,586000.0,2759943,586000.0,4
340000.0,7,1,340000.0,2736182,339000.0,4
2249860.0,7,1,2249860.0,2717947,2249860.0,4
32500.0,7,5,32500.0,2702596,32500.0,4
400000.0,7,40,400000.0,2705541,296000.0,4
334500.0,7,1,334500.0,2728562,334500.0,4
720000.0,15,720,720000.0,2736462,684000.0,4
25000000.0,7,1,25000000.0,2712023,18073784.85,4
1864770.0,7,1,1864770.0,2706230,1864620.0,4
600000.0,2,1,600000.0,2715405,589500.0,4
595000.0,2,1,595000.0,2751794,595000.0,4
6280000.0,15,1,6280000.0,2723781,6280000.0,4
395500.0,30,1,395500.0,2731344,394250.0,4
2680000.0,7,1,2680000.0,2729781,2666000.0,4
147000.0,5,1,147000.0,2705830,147000.0,4
499320.0,30,68400,499320.0,2741939,499320.0,4
14300.0,10,50,14300.0,2755297,14300.0,4
2990000.0,7,3,2990000.0,2743283,495000.0,4
15400.0,7,1,15400.0,2711335,15288.0,4
4500.0,7,100,4500.0,2712487,2500.0,4
168000.0,90,12,168000.0,2747387,168000.0,4
23831200.0,7,15000,23831200.0,2707442,10725150.0,4
24700.0,14,38,24700.0,2719040,24700.0,4
78750.0,7,5,78750.0,2739256,63800.0,4
470300.0,1,1,470300.0,2704664,470300.0,4
33424740.0000002,7,1611000,33424740.0000002,2729630,23927565.00000017,4
399000.0,30,1,399000.0,2729392,380500.0,4
480000.0,7,500,480000.0,2728695,480000.0,4
3000000.0,1,1,3000000.0,2734423,2970000.0,4
375000.0,30,10,375000.0,2722907,373757.97,4
3562800.0,7,3000,3562800.0,2715643,3562800.0,4
94000.0,7,1,94000.0,2702897,94000.0,4
2358763.0,7,1,2358763.0,2712143,2354625.5,4
530000.0,7,1500,530000.0,2711772,490000.0,4
450000.0,7,1325,450000.0,2723959,213750.0,4
545367.0,7,39,545367.0,2746039,545367.0,4
10711500.0,30,3700,10711500.0,2731780,10711500.0,4
41300.0,7,7,41300.0,2700983,41125.0,4
5000000.0,1,1,5000000.0,2734477,4450000.0,4
103000.0,30,1,103000.0,2757664,103000.0,4
9310000.0,30,70,9310000.0,2757334,9310000.0,4
1023510.0,30,1,1023510.0,2757114,1011403.0,4
302500.0,7,200,302500.0,2747469,302500.0,4
33424740.0000002,7,42000,33424740.0000002,2757638,23927565.00000017,4
5610885.0,30,1,5610885.0,2727344,5195500.0,4
627600.0,3,1,627600.0,2693042,479600.0,4
11636582.0,7,1,11636582.0,2713032,11636582.0,4
258000.0,2,934,258000.0,2752972,244005.0,4
8000000.0,5,4000,8000000.0,2742948,8000000.0,4
140000.0,7,1,140000.0,2715639,139035.0,4
99705.0,4,1,99705.0,2721229,99530.0,4
1680000.0,3,4,1680000.0,2717130,1680000.0,4
174000.0,10,600,174000.0,2718173,141000.0,4
716250.0,1,1,716250.0,2750517,716250.0,4
101600.0,2,1,101600.0,2752277,101600.0,4
1102500.0,7,1,1102500.0,2729565,1095500.0,4
151250.0,7,1,151250.0,2732853,151250.0,4
2928500.0,7,500,2928500.0,2763355,87500.0,4
657344.0,15,1,657344.0,2710415,332750.0,4
790.0,14,2,790.0,2711910,790.0,4
4312800.0,7,1,4312800.0,2716480,4305440.0,4
83800.0,14,1,83800.0,2758140,83800.0,4
2000000.0,7,500,2000000.0,2705606,1749000.0,4
110000.0,120,1,110000.0,2741511,110000.0,4
86050.0,10,1,86050.0,2744902,82317.5,4
1750000.0,30,1000,1750000.0,2708215,1750000.0,4
82500.0,7,15,82500.0,2704654,82500.0,4
33424740.0000002,7,1,33424740.0000002,2702850,23927565.00000017,4
1180838.0,7,1,1180838.0,2701118,1168254.0,4
1483848.82,7,1,1483848.82,2715634,1162440.0,4
160000.0,10,200,160000.0,2701959,159000.0,4
295000.0,7,50,295000.0,2713874,292252.0,4
22372680.0,7,1,22372680.0,2729773,22360890.0,4
15258.8,7,20,15258.8,2753040,15258.8,4
56000.0,3,1,56000.0,2703591,55394.0,4
516000.0,7,12,516000.0,2760304,480000.0,4
26700.0,5,1,26700.0,2735718,26700.0,4
640000.0,7,4000,640000.0,2738881,640000.0,4
300000.0,5,300,300000.0,2705054,300000.0,4
4181788.0,7,1,4181788.0,2756484,4181788.0,4
91000.0,30,1,91000.0,2710058,65000.0,4
105950.0,5,1,105950.0,2732106,103950.0,4
1017000.0,7,400,1017000.0,2746340,184000.0,4
230000.0,7,5,230000.0,2706375,230000.0,4
319000.0,7,1835,319000.0,2708094,298400.0,4
4100.0,7,200,4100.0,2712472,4100.0,4
196530.0,2,1,196530.0,2723249,196530.0,4
1570290.0,7,1,1570290.0,2712225,1325290.0,4
731000.0,7,1,731000.0,2726486,731000.0,4
343750.0,10,275,343750.0,2731868,316250.0,4
135000.0,14,300,135000.0,2738231,135000.0,4
25410000.0,60,52500,25410000.0,2729571,23927565.00000017,4
24280.0,7,1,24280.0,2727162,24280.0,4
189000.0,7,1,189000.0,2726324,177250.0,4
570000.0,7,200,570000.0,2738841,295000.0,4
472500.0,10,2700,472500.0,864237,472000.0,4
76000.0,30,2,76000.0,2747604,76000.0,4
1762200.0,15,1958,1762200.0,2708105,1713250.0,4
160500.0,15,107,160500.0,2712817,160500.0,4
1050000.0,7,1500,1050000.0,2738793,1050000.0,4
504175.0,2,1,504175.0,2715258,504175.0,4
70000.0,180,2,70000.0,2709543,70000.0,4
118800.0,15,6,118800.0,2700328,118800.0,4
90000.0,14,100,90000.0,2733463,90000.0,4
135000.0,7,300,135000.0,2725404,135000.0,4
999915.0,30,11235,999915.0,2733729,999915.0,4
600000.0,5,1,600000.0,2730676,600000.0,4
3250.0,7,50,3250.0,2711400,3250.0,4
937030.0,20,1,937030.0,2744072,931060.0,4
299993.5,5,1,299993.5,2709384,299993.5,4
107000.0,14,1,107000.0,2711891,107000.0,4
2700000.0,90,1,2700000.0,2710591,2700000.0,4
250000.0,7,1,250000.0,2715908,250000.0,4
1499822.5,4,1,1499822.5,2717032,1499822.5,4
260000.0,3,200,260000.0,2717524,260000.0,4
15973150.0,14,1,15973150.0,2721957,15793150.0,4
569836.0,7,1,569836.0,2748577,569836.0,4
31250.0,10,1,31250.0,2717446,31250.0,4
640020.0,7,1,640020.0,2751877,640020.0,4
6000000.0,14,500,6000000.0,2759594,5750000.0,4
100000.0,5,30,100000.0,2713620,99000.0,4
86250.0,7,75,86250.0,2746743,62250.0,4
1400000.0,10,800,1400000.0,2749454,1400000.0,4
1850000.0,7,1,1850000.0,2746112,1850000.0,4
199795.5,10,1,199795.5,2715016,199795.5,4
